datafile,source,datafile,completeness,consider,year,station,fname_rainfall,fname_erosivity,file_exists
KMI_6447_2009,KMI,KMI_6447_2009,0.785983203,0,2009,KMI_6447,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\KMI_6447_2009.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\KMI_6447_2009new cumdistr salles.txt,1
P09_025_2016,VMM,P09_025_2016,0.956491391,1,2016,P09_025,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_025_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_025_2016new cumdistr salles.txt,1
P09_025_2012,VMM,P09_025_2012,0.981349298,1,2012,P09_025,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_025_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_025_2012new cumdistr salles.txt,1
P09_025_2011,VMM,P09_025_2011,0.999734959,1,2011,P09_025,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_025_2011.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_025_2011new cumdistr salles.txt,1
P09_025_2010,VMM,P09_025_2010,0.997071028,1,2010,P09_025,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_025_2010.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_025_2010new cumdistr salles.txt,1
P09_025_2009,VMM,P09_025_2009,0.998903509,1,2009,P09_025,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_025_2009.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_025_2009new cumdistr salles.txt,1
P09_016_2012,VMM,P09_016_2012,0.977542592,1,2012,P09_016,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_016_2012.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_016_2012new cumdistr salles.txt,1
P09_016_2010,VMM,P09_016_2010,0.995515695,1,2010,P09_016,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_016_2010.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_016_2010new cumdistr salles.txt,1
P09_012_2016,VMM,P09_012_2016,1,1,2016,P09_012,C:\Users\SachaGobeyn\Dropbox (Fluves)\FLUVES\PROJECTS\FL_P_2020_DepO_CNWSMod_1\07_results\2019_rfactor\data\v0_rain_data_set_20201201\P09_012_2016.txt,C:\Users\SachaGobeyn\GitHub\rfactor\rfactor\src\rfactor\results\P09_012_2016new cumdistr salles.txt,1
KMI_6418_2020,KMI,KMI_6418_2020,0.965336821,1,2020,KMI_6418,,,
